year,country,measure,measurement
1980,Canada,life_expect,75.76
1985,Canada,life_expect,76.86
1990,Canada,life_expect,77.95
1995,Canada,life_expect,78.61
2000,Canada,life_expect,79.77
2005,Canada,life_expect,80.653
1955,Chile,life_expect,56.074
1960,Chile,life_expect,57.924
1965,Chile,life_expect,60.523
1970,Chile,life_expect,63.441
1975,Chile,life_expect,67.052
1980,Chile,life_expect,70.565
1985,Chile,life_expect,72.492
1990,Chile,life_expect,74.126
1995,Chile,life_expect,75.816
2000,Chile,life_expect,77.86
2005,Chile,life_expect,78.553
1955,China,life_expect,50.54896
1960,China,life_expect,44.50136
1965,China,life_expect,58.38112
1970,China,life_expect,63.11888
1975,China,life_expect,63.96736
1980,China,life_expect,65.525
1985,China,life_expect,67.274
1990,China,life_expect,68.69
1995,China,life_expect,70.426
2000,China,life_expect,72.028
2005,China,life_expect,72.961
1955,Colombia,life_expect,55.118
1960,Colombia,life_expect,57.863
1965,Colombia,life_expect,59.963
1970,Colombia,life_expect,61.623
1975,Colombia,life_expect,63.837
1980,Colombia,life_expect,66.653
1985,Colombia,life_expect,67.768
1990,Colombia,life_expect,68.421
1995,Colombia,life_expect,70.313
2000,Colombia,life_expect,71.682
2005,Colombia,life_expect,72.889
1955,Costa Rica,life_expect,60.026
1960,Costa Rica,life_expect,62.842
1965,Costa Rica,life_expect,65.424
1970,Costa Rica,life_expect,67.849
1975,Costa Rica,life_expect,70.75
1980,Costa Rica,life_expect,73.45
1985,Costa Rica,life_expect,74.752
1990,Costa Rica,life_expect,75.713
1995,Costa Rica,life_expect,77.26
2000,Costa Rica,life_expect,78.123
2005,Costa Rica,life_expect,78.782
1955,Croatia,life_expect,64.77
1960,Croatia,life_expect,67.13
1965,Croatia,life_expect,68.5
1970,Croatia,life_expect,69.61
1975,Croatia,life_expect,70.64
1980,Croatia,life_expect,70.46
1985,Croatia,life_expect,71.52
1990,Croatia,life_expect,72.527
1995,Croatia,life_expect,73.68
2000,Croatia,life_expect,74.876
2005,Croatia,life_expect,75.748
1955,Cuba,life_expect,62.325
1960,Cuba,life_expect,65.246
1965,Cuba,life_expect,68.29
1970,Cuba,life_expect,70.723
1975,Cuba,life_expect,72.649
1980,Cuba,life_expect,73.717
1985,Cuba,life_expect,74.174
1990,Cuba,life_expect,74.414
1995,Cuba,life_expect,76.151
2000,Cuba,life_expect,77.158
2005,Cuba,life_expect,78.273
1955,Dominican Republic,life_expect,49.828
1960,Dominican Republic,life_expect,53.459
1965,Dominican Republic,life_expect,56.751
1970,Dominican Republic,life_expect,59.631
1975,Dominican Republic,life_expect,61.788
1980,Dominican Republic,life_expect,63.727
1985,Dominican Republic,life_expect,66.046
1990,Dominican Republic,life_expect,68.457
1995,Dominican Republic,life_expect,69.957
2000,Dominican Republic,life_expect,70.847
2005,Dominican Republic,life_expect,72.235
1955,Ecuador,life_expect,51.356
1960,Ecuador,life_expect,54.64
1965,Ecuador,life_expect,56.678
1970,Ecuador,life_expect,58.796
1975,Ecuador,life_expect,61.31
1980,Ecuador,life_expect,64.342
1985,Ecuador,life_expect,67.231
1990,Ecuador,life_expect,69.613
1995,Ecuador,life_expect,72.312
2000,Ecuador,life_expect,74.173
2005,Ecuador,life_expect,74.994
1955,Egypt,life_expect,44.444
1960,Egypt,life_expect,46.992
1965,Egypt,life_expect,49.293
1970,Egypt,life_expect,51.137
1975,Egypt,life_expect,53.319
1980,Egypt,life_expect,56.006
1985,Egypt,life_expect,59.797
1990,Egypt,life_expect,63.674
1995,Egypt,life_expect,67.217
2000,Egypt,life_expect,69.806
2005,Egypt,life_expect,71.338
1955,El Salvador,life_expect,48.57
1960,El Salvador,life_expect,52.307
1965,El Salvador,life_expect,55.855
1970,El Salvador,life_expect,58.207
1975,El Salvador,life_expect,56.696
1980,El Salvador,life_expect,56.604
1985,El Salvador,life_expect,63.154
1990,El Salvador,life_expect,66.798
1995,El Salvador,life_expect,69.535
2000,El Salvador,life_expect,70.734
2005,El Salvador,life_expect,71.878
1955,Finland,life_expect,67.49
1960,Finland,life_expect,68.75
1965,Finland,life_expect,69.83
1970,Finland,life_expect,70.87
1975,Finland,life_expect,72.52
1980,Finland,life_expect,74.55
1985,Finland,life_expect,74.83
1990,Finland,life_expect,75.7
1995,Finland,life_expect,77.13
2000,Finland,life_expect,78.37
2005,Finland,life_expect,79.313
1955,France,life_expect,68.93
1960,France,life_expect,70.51
1965,France,life_expect,71.55
1970,France,life_expect,72.38
1975,France,life_expect,73.83
1980,France,life_expect,74.89
1985,France,life_expect,76.34
1990,France,life_expect,77.46
1995,France,life_expect,78.64
2000,France,life_expect,79.59
2005,France,life_expect,80.657
1955,Georgia,life_expect,62.625
1960,Georgia,life_expect,64.644
1965,Georgia,life_expect,66.654
1970,Georgia,life_expect,68.158
1975,Georgia,life_expect,69.634
1980,Georgia,life_expect,69.638
1985,Georgia,life_expect,70.45
1990,Georgia,life_expect,70.465
1995,Georgia,life_expect,70.49
2000,Georgia,life_expect,70.476
2005,Georgia,life_expect,70.987
1955,Germany,life_expect,69.1
1960,Germany,life_expect,70.3
1965,Germany,life_expect,70.8
1970,Germany,life_expect,71.0
1975,Germany,life_expect,72.5
1980,Germany,life_expect,73.8
1985,Germany,life_expect,74.847
1990,Germany,life_expect,76.07
1995,Germany,life_expect,77.34
2000,Germany,life_expect,78.67
2005,Germany,life_expect,79.406
1955,Greece,life_expect,67.86
1960,Greece,life_expect,69.51
1965,Greece,life_expect,71.0
1970,Greece,life_expect,72.34
1975,Greece,life_expect,73.68
1980,Greece,life_expect,75.24
1985,Greece,life_expect,76.67
1990,Greece,life_expect,77.03
1995,Greece,life_expect,77.869
2000,Greece,life_expect,78.256
2005,Greece,life_expect,79.483
1955,Grenada,life_expect,63.114
1960,Grenada,life_expect,63.608
1965,Grenada,life_expect,64.091
1970,Grenada,life_expect,64.577
1975,Grenada,life_expect,65.035
1980,Grenada,life_expect,65.503
1985,Grenada,life_expect,66.002
1990,Grenada,life_expect,66.469
1995,Grenada,life_expect,66.986
2000,Grenada,life_expect,67.746
2005,Grenada,life_expect,68.724
1955,Haiti,life_expect,40.696
1960,Haiti,life_expect,43.59
1965,Haiti,life_expect,46.243
1970,Haiti,life_expect,48.042
1975,Haiti,life_expect,49.923
1980,Haiti,life_expect,51.461
1985,Haiti,life_expect,53.636
1990,Haiti,life_expect,55.089
1995,Haiti,life_expect,56.671
2000,Haiti,life_expect,58.137
2005,Haiti,life_expect,60.916
1955,Hong Kong,life_expect,64.75
1960,Hong Kong,life_expect,67.65
1965,Hong Kong,life_expect,70.0
1970,Hong Kong,life_expect,72.0
1975,Hong Kong,life_expect,73.6
1980,Hong Kong,life_expect,75.45
1985,Hong Kong,life_expect,76.2
1990,Hong Kong,life_expect,77.601
1995,Hong Kong,life_expect,80.0
2000,Hong Kong,life_expect,81.495
2005,Hong Kong,life_expect,82.208
1955,Iceland,life_expect,73.47
1960,Iceland,life_expect,73.68
1965,Iceland,life_expect,73.73
1970,Iceland,life_expect,74.46
1975,Iceland,life_expect,76.11
1980,Iceland,life_expect,76.99
1985,Iceland,life_expect,77.23
1990,Iceland,life_expect,78.77
1995,Iceland,life_expect,78.95
2000,Iceland,life_expect,80.5
2005,Iceland,life_expect,81.757
1955,India,life_expect,40.249
1960,India,life_expect,43.605
1965,India,life_expect,47.193
1970,India,life_expect,50.651
1975,India,life_expect,54.208
1980,India,life_expect,56.596
1985,India,life_expect,58.553
1990,India,life_expect,60.223
1995,India,life_expect,61.765
2000,India,life_expect,62.879
2005,India,life_expect,64.698
1955,Indonesia,life_expect,39.918
1960,Indonesia,life_expect,42.518
1965,Indonesia,life_expect,45.964
1970,Indonesia,life_expect,49.203
1975,Indonesia,life_expect,52.702
1980,Indonesia,life_expect,56.159
1985,Indonesia,life_expect,60.137
1990,Indonesia,life_expect,62.681
1995,Indonesia,life_expect,66.041
2000,Indonesia,life_expect,68.588
2005,Indonesia,life_expect,70.65
1955,Iran,life_expect,47.181
1960,Iran,life_expect,49.325
1965,Iran,life_expect,52.469
1970,Iran,life_expect,55.234
1975,Iran,life_expect,57.702
1980,Iran,life_expect,59.62
1985,Iran,life_expect,63.04
1990,Iran,life_expect,65.742
1995,Iran,life_expect,68.042
2000,Iran,life_expect,69.451
2005,Iran,life_expect,70.964
1955,Iraq,life_expect,48.437
1960,Iraq,life_expect,51.457
1965,Iraq,life_expect,54.459
1970,Iraq,life_expect,56.95
1975,Iraq,life_expect,60.413
1980,Iraq,life_expect,62.038
1985,Iraq,life_expect,65.044
1990,Iraq,life_expect,59.461
1995,Iraq,life_expect,58.811
2000,Iraq,life_expect,57.046
2005,Iraq,life_expect,59.545
1955,Ireland,life_expect,68.9
1960,Ireland,life_expect,70.29
1965,Ireland,life_expect,71.08
1970,Ireland,life_expect,71.28
1975,Ireland,life_expect,72.03
1980,Ireland,life_expect,73.1
1985,Ireland,life_expect,74.36
1990,Ireland,life_expect,75.467
1995,Ireland,life_expect,76.122
2000,Ireland,life_expect,77.783
2005,Ireland,life_expect,78.885
1955,Israel,life_expect,67.84
1960,Israel,life_expect,69.39
1965,Israel,life_expect,70.75
1970,Israel,life_expect,71.63
1975,Israel,life_expect,73.06
1980,Israel,life_expect,74.45
1985,Israel,life_expect,75.6
1990,Israel,life_expect,76.93
1995,Israel,life_expect,78.269
2000,Israel,life_expect,79.696
2005,Israel,life_expect,80.745
1955,Italy,life_expect,67.81
1960,Italy,life_expect,69.24
1965,Italy,life_expect,71.06
1970,Italy,life_expect,72.19
1975,Italy,life_expect,73.48
1980,Italy,life_expect,74.98
1985,Italy,life_expect,76.42
1990,Italy,life_expect,77.44
1995,Italy,life_expect,78.82
2000,Italy,life_expect,80.24
2005,Italy,life_expect,80.546
1955,Jamaica,life_expect,62.61
1960,Jamaica,life_expect,65.61
1965,Jamaica,life_expect,67.51
1970,Jamaica,life_expect,69.0
1975,Jamaica,life_expect,70.11
1980,Jamaica,life_expect,71.21
1985,Jamaica,life_expect,71.77
1990,Jamaica,life_expect,71.766
1995,Jamaica,life_expect,72.262
2000,Jamaica,life_expect,72.047
2005,Jamaica,life_expect,72.567
1955,Japan,life_expect,65.5
1960,Japan,life_expect,68.73
1965,Japan,life_expect,71.43
1970,Japan,life_expect,73.42
1975,Japan,life_expect,75.38
1980,Japan,life_expect,77.11
1985,Japan,life_expect,78.67
1990,Japan,life_expect,79.36
1995,Japan,life_expect,80.69
2000,Japan,life_expect,82.0
2005,Japan,life_expect,82.603
1955,Kenya,life_expect,44.686
1960,Kenya,life_expect,47.949
1965,Kenya,life_expect,50.654
1970,Kenya,life_expect,53.559
1975,Kenya,life_expect,56.155
1980,Kenya,life_expect,58.766
1985,Kenya,life_expect,59.339
1990,Kenya,life_expect,59.285
1995,Kenya,life_expect,54.407
2000,Kenya,life_expect,50.992
2005,Kenya,life_expect,54.11
1955,South Korea,life_expect,54.081
1960,South Korea,life_expect,56.656
1965,South Korea,life_expect,59.942
1970,South Korea,life_expect,63.983
1975,South Korea,life_expect,67.159
1980,South Korea,life_expect,69.1
1985,South Korea,life_expect,70.647
1990,South Korea,life_expect,69.978
1995,South Korea,life_expect,67.727
2000,South Korea,life_expect,66.662
2005,South Korea,life_expect,67.297
1955,North Korea,life_expect,52.681
1960,North Korea,life_expect,55.292
1965,North Korea,life_expect,57.716
1970,North Korea,life_expect,62.612
1975,North Korea,life_expect,64.766
1980,North Korea,life_expect,67.123
1985,North Korea,life_expect,69.81
1990,North Korea,life_expect,72.244
1995,North Korea,life_expect,74.647
2000,North Korea,life_expect,77.045
2005,North Korea,life_expect,78.623
1955,Lebanon,life_expect,59.489
1960,Lebanon,life_expect,62.094
1965,Lebanon,life_expect,63.87
1970,Lebanon,life_expect,65.421
1975,Lebanon,life_expect,66.099
1980,Lebanon,life_expect,66.983
1985,Lebanon,life_expect,67.926
1990,Lebanon,life_expect,69.292
1995,Lebanon,life_expect,70.265
2000,Lebanon,life_expect,71.028
2005,Lebanon,life_expect,71.993
1955,Mexico,life_expect,55.19
1960,Mexico,life_expect,58.299
1965,Mexico,life_expect,60.11
1970,Mexico,life_expect,62.361
1975,Mexico,life_expect,65.032
1980,Mexico,life_expect,67.405
1985,Mexico,life_expect,69.498
1990,Mexico,life_expect,71.455
1995,Mexico,life_expect,73.67
2000,Mexico,life_expect,74.902
2005,Mexico,life_expect,76.195
1955,Netherlands,life_expect,72.99
1960,Netherlands,life_expect,73.23
1965,Netherlands,life_expect,73.82
1970,Netherlands,life_expect,73.75
1975,Netherlands,life_expect,75.24
1980,Netherlands,life_expect,76.05
1985,Netherlands,life_expect,76.83
1990,Netherlands,life_expect,77.42
1995,Netherlands,life_expect,78.03
2000,Netherlands,life_expect,78.53
2005,Netherlands,life_expect,79.762
1955,New Zealand,life_expect,70.26
1960,New Zealand,life_expect,71.24
1965,New Zealand,life_expect,71.52
1970,New Zealand,life_expect,71.89
1975,New Zealand,life_expect,72.22
1980,New Zealand,life_expect,73.84
1985,New Zealand,life_expect,74.32
1990,New Zealand,life_expect,76.33
1995,New Zealand,life_expect,77.55
2000,New Zealand,life_expect,79.11
2005,New Zealand,life_expect,80.204
1955,Nigeria,life_expect,37.802
1960,Nigeria,life_expect,39.36
1965,Nigeria,life_expect,41.04
1970,Nigeria,life_expect,42.821
1975,Nigeria,life_expect,44.514
1980,Nigeria,life_expect,45.826
1985,Nigeria,life_expect,46.886
1990,Nigeria,life_expect,47.472
1995,Nigeria,life_expect,47.464
2000,Nigeria,life_expect,46.608
2005,Nigeria,life_expect,46.859
1955,Norway,life_expect,73.44
1960,Norway,life_expect,73.47
1965,Norway,life_expect,74.08
1970,Norway,life_expect,74.34
1975,Norway,life_expect,75.37
1980,Norway,life_expect,75.97
1985,Norway,life_expect,75.89
1990,Norway,life_expect,77.32
1995,Norway,life_expect,78.32
2000,Norway,life_expect,79.05
2005,Norway,life_expect,80.196
1955,Pakistan,life_expect,45.557
1960,Pakistan,life_expect,47.67
1965,Pakistan,life_expect,49.8
1970,Pakistan,life_expect,51.929
1975,Pakistan,life_expect,54.043
1980,Pakistan,life_expect,56.158
1985,Pakistan,life_expect,58.245
1990,Pakistan,life_expect,60.838
1995,Pakistan,life_expect,61.818
2000,Pakistan,life_expect,63.61
2005,Pakistan,life_expect,65.483
1955,Peru,life_expect,46.263
1960,Peru,life_expect,49.096
1965,Peru,life_expect,51.445
1970,Peru,life_expect,55.448
1975,Peru,life_expect,58.447
1980,Peru,life_expect,61.406
1985,Peru,life_expect,64.134
1990,Peru,life_expect,66.458
1995,Peru,life_expect,68.386
2000,Peru,life_expect,69.906
2005,Peru,life_expect,71.421
1955,Philippines,life_expect,51.334
1960,Philippines,life_expect,54.757
1965,Philippines,life_expect,56.393
1970,Philippines,life_expect,58.065
1975,Philippines,life_expect,60.06
1980,Philippines,life_expect,62.082
1985,Philippines,life_expect,64.151
1990,Philippines,life_expect,66.458
1995,Philippines,life_expect,68.564
2000,Philippines,life_expect,70.303
2005,Philippines,life_expect,71.688
1955,Poland,life_expect,65.77
1960,Poland,life_expect,67.64
1965,Poland,life_expect,69.61
1970,Poland,life_expect,70.85
1975,Poland,life_expect,70.67
1980,Poland,life_expect,71.32
1985,Poland,life_expect,70.98
1990,Poland,life_expect,70.99
1995,Poland,life_expect,72.75
2000,Poland,life_expect,74.67
2005,Poland,life_expect,75.563
1955,Portugal,life_expect,61.51
1960,Portugal,life_expect,64.39
1965,Portugal,life_expect,66.6
1970,Portugal,life_expect,69.26
1975,Portugal,life_expect,70.41
1980,Portugal,life_expect,72.77
1985,Portugal,life_expect,74.06
1990,Portugal,life_expect,74.86
1995,Portugal,life_expect,75.97
2000,Portugal,life_expect,77.29
2005,Portugal,life_expect,78.098
1955,Rwanda,life_expect,41.5
1960,Rwanda,life_expect,43.0
1965,Rwanda,life_expect,44.1
1970,Rwanda,life_expect,44.6
1975,Rwanda,life_expect,45.0
1980,Rwanda,life_expect,46.218
1985,Rwanda,life_expect,44.02
1990,Rwanda,life_expect,23.599
1995,Rwanda,life_expect,36.087
2000,Rwanda,life_expect,43.413
2005,Rwanda,life_expect,46.242
1955,Saudi Arabia,life_expect,42.868
1960,Saudi Arabia,life_expect,45.914
1965,Saudi Arabia,life_expect,49.901
1970,Saudi Arabia,life_expect,53.886
1975,Saudi Arabia,life_expect,58.69
1980,Saudi Arabia,life_expect,63.012
1985,Saudi Arabia,life_expect,66.295
1990,Saudi Arabia,life_expect,68.768
1995,Saudi Arabia,life_expect,70.533
2000,Saudi Arabia,life_expect,71.626
2005,Saudi Arabia,life_expect,72.777
1955,South Africa,life_expect,47.985
1960,South Africa,life_expect,49.951
1965,South Africa,life_expect,51.927
1970,South Africa,life_expect,53.696
1975,South Africa,life_expect,55.527
1980,South Africa,life_expect,58.161
1985,South Africa,life_expect,60.834
1990,South Africa,life_expect,61.888
1995,South Africa,life_expect,60.236
2000,South Africa,life_expect,53.365
2005,South Africa,life_expect,49.339
1955,Spain,life_expect,66.66
1960,Spain,life_expect,69.69
1965,Spain,life_expect,71.44
1970,Spain,life_expect,73.06
1975,Spain,life_expect,74.39
1980,Spain,life_expect,76.3
1985,Spain,life_expect,76.9
1990,Spain,life_expect,77.57
1995,Spain,life_expect,78.77
2000,Spain,life_expect,79.78
2005,Spain,life_expect,80.941
1955,Switzerland,life_expect,70.56
1960,Switzerland,life_expect,71.32
1965,Switzerland,life_expect,72.77
1970,Switzerland,life_expect,73.78
1975,Switzerland,life_expect,75.39
1980,Switzerland,life_expect,76.21
1985,Switzerland,life_expect,77.41
1990,Switzerland,life_expect,78.03
1995,Switzerland,life_expect,79.37
2000,Switzerland,life_expect,80.62
2005,Switzerland,life_expect,81.701
1955,Turkey,life_expect,48.079
1960,Turkey,life_expect,52.098
1965,Turkey,life_expect,54.336
1970,Turkey,life_expect,57.005
1975,Turkey,life_expect,59.507
1980,Turkey,life_expect,61.036
1985,Turkey,life_expect,63.108
1990,Turkey,life_expect,66.146
1995,Turkey,life_expect,68.835
2000,Turkey,life_expect,70.845
2005,Turkey,life_expect,71.777
1955,United Kingdom,life_expect,70.42
1960,United Kingdom,life_expect,70.76
1965,United Kingdom,life_expect,71.36
1970,United Kingdom,life_expect,72.01
1975,United Kingdom,life_expect,72.76
1980,United Kingdom,life_expect,74.04
1985,United Kingdom,life_expect,75.007
1990,United Kingdom,life_expect,76.42
1995,United Kingdom,life_expect,77.218
2000,United Kingdom,life_expect,78.471
2005,United Kingdom,life_expect,79.425
1955,United States,life_expect,69.49
1960,United States,life_expect,70.21
1965,United States,life_expect,70.76
1970,United States,life_expect,71.34
1975,United States,life_expect,73.38
1980,United States,life_expect,74.65
1985,United States,life_expect,75.02
1990,United States,life_expect,76.09
1995,United States,life_expect,76.81
2000,United States,life_expect,77.31
2005,United States,life_expect,78.242
1955,Venezuela,life_expect,57.907
1960,Venezuela,life_expect,60.77
1965,Venezuela,life_expect,63.479
1970,Venezuela,life_expect,65.712
1975,Venezuela,life_expect,67.456
1980,Venezuela,life_expect,68.557
1985,Venezuela,life_expect,70.19
1990,Venezuela,life_expect,71.15
1995,Venezuela,life_expect,72.146
2000,Venezuela,life_expect,72.766
2005,Venezuela,life_expect,73.747
1955,Afghanistan,fertility,7.7
1960,Afghanistan,fertility,7.7
1965,Afghanistan,fertility,7.7
1970,Afghanistan,fertility,7.7
1975,Afghanistan,fertility,7.7
1980,Afghanistan,fertility,7.8
1985,Afghanistan,fertility,7.9
1990,Afghanistan,fertility,8.0
1995,Afghanistan,fertility,8.0
2000,Afghanistan,fertility,7.4792
2005,Afghanistan,fertility,7.0685
1955,Argentina,fertility,3.1265
1960,Argentina,fertility,3.0895
1965,Argentina,fertility,3.049
1970,Argentina,fertility,3.1455
1975,Argentina,fertility,3.44
1980,Argentina,fertility,3.15
1985,Argentina,fertility,3.053
1990,Argentina,fertility,2.9
1995,Argentina,fertility,2.63
2000,Argentina,fertility,2.35
2005,Argentina,fertility,2.254
1955,Aruba,fertility,5.15
1960,Aruba,fertility,4.399
1965,Aruba,fertility,3.301
1970,Aruba,fertility,2.651
1975,Aruba,fertility,2.45
1980,Aruba,fertility,2.358
1985,Aruba,fertility,2.3
1990,Aruba,fertility,2.2800000000000002
1995,Aruba,fertility,2.208
2000,Aruba,fertility,2.124
2005,Aruba,fertility,2.04
1955,Australia,fertility,3.406
1960,Australia,fertility,3.274
1965,Australia,fertility,2.871
1970,Australia,fertility,2.535
1975,Australia,fertility,1.9889999999999999
1980,Australia,fertility,1.907
1985,Australia,fertility,1.859
1990,Australia,fertility,1.8599999999999999
1995,Australia,fertility,1.776
2000,Australia,fertility,1.756
2005,Australia,fertility,1.788
1955,Austria,fertility,2.52
1960,Austria,fertility,2.7800000000000002
1965,Austria,fertility,2.5300000000000002
1970,Austria,fertility,2.02
1975,Austria,fertility,1.6400000000000001
1980,Austria,fertility,1.62
1985,Austria,fertility,1.45
1990,Austria,fertility,1.47
1995,Austria,fertility,1.388
2000,Austria,fertility,1.3820000000000001
2005,Austria,fertility,1.42
1955,Bahamas,fertility,4.305
1960,Bahamas,fertility,4.503
1965,Bahamas,fertility,3.794
1970,Bahamas,fertility,3.444
1975,Bahamas,fertility,3.221
1980,Bahamas,fertility,3.16
1985,Bahamas,fertility,2.62
1990,Bahamas,fertility,2.6
1995,Bahamas,fertility,2.4
2000,Bahamas,fertility,2.1111
2005,Bahamas,fertility,2.0221
1955,Bangladesh,fertility,6.76
1960,Bangladesh,fertility,6.85
1965,Bangladesh,fertility,6.6
1970,Bangladesh,fertility,6.15
1975,Bangladesh,fertility,5.6
1980,Bangladesh,fertility,5.25
1985,Bangladesh,fertility,4.629
1990,Bangladesh,fertility,4.117
1995,Bangladesh,fertility,3.5042999999999997
2000,Bangladesh,fertility,3.224
2005,Bangladesh,fertility,2.826
1955,Barbados,fertility,4.67
1960,Barbados,fertility,4.26
1965,Barbados,fertility,3.45
1970,Barbados,fertility,2.74
1975,Barbados,fertility,2.19
1980,Barbados,fertility,1.92
1985,Barbados,fertility,1.75
1990,Barbados,fertility,1.6
1995,Barbados,fertility,1.5
2000,Barbados,fertility,1.5
2005,Barbados,fertility,1.5
1955,Belgium,fertility,2.496
1960,Belgium,fertility,2.644
1965,Belgium,fertility,2.392
1970,Belgium,fertility,2.015
1975,Belgium,fertility,1.705
1980,Belgium,fertility,1.595
1985,Belgium,fertility,1.5590000000000002
1990,Belgium,fertility,1.613
1995,Belgium,fertility,1.604
2000,Belgium,fertility,1.638
2005,Belgium,fertility,1.646
1955,Bolivia,fertility,6.75
1960,Bolivia,fertility,6.63
1965,Bolivia,fertility,6.5600000000000005
1970,Bolivia,fertility,6.5
1975,Bolivia,fertility,5.8
1980,Bolivia,fertility,5.2995
1985,Bolivia,fertility,5.0
1990,Bolivia,fertility,4.8
1995,Bolivia,fertility,4.324
2000,Bolivia,fertility,3.9585
2005,Bolivia,fertility,3.5
1955,Brazil,fertility,6.1501
1960,Brazil,fertility,6.1501
1965,Brazil,fertility,5.38
1970,Brazil,fertility,4.7175
1975,Brazil,fertility,4.305
1980,Brazil,fertility,3.8
1985,Brazil,fertility,3.1
1990,Brazil,fertility,2.6
1995,Brazil,fertility,2.45
2000,Brazil,fertility,2.345
2005,Brazil,fertility,2.245
1955,Canada,fertility,3.882
1960,Canada,fertility,3.675
1965,Canada,fertility,2.61
1970,Canada,fertility,1.976
1975,Canada,fertility,1.734
1980,Canada,fertility,1.634
1985,Canada,fertility,1.616
1990,Canada,fertility,1.694
1995,Canada,fertility,1.564
2000,Canada,fertility,1.522
2005,Canada,fertility,1.5270000000000001
1955,Chile,fertility,5.486
1960,Chile,fertility,5.4385
1965,Chile,fertility,4.4405
1970,Chile,fertility,3.63
1975,Chile,fertility,2.803
1980,Chile,fertility,2.6710000000000003
1985,Chile,fertility,2.65
1990,Chile,fertility,2.55
1995,Chile,fertility,2.21
2000,Chile,fertility,2.0
2005,Chile,fertility,1.944
1955,China,fertility,5.59
1960,China,fertility,5.72
1965,China,fertility,6.06
1970,China,fertility,4.86
1975,China,fertility,3.32
1980,China,fertility,2.55
1985,China,fertility,2.46
1990,China,fertility,1.92
1995,China,fertility,1.7810000000000001
2000,China,fertility,1.7000000000000002
2005,China,fertility,1.725
1955,Colombia,fertility,6.76
1960,Colombia,fertility,6.76
1965,Colombia,fertility,6.18
1970,Colombia,fertility,5.0005
1975,Colombia,fertility,4.3385
1980,Colombia,fertility,3.685
1985,Colombia,fertility,3.172
1990,Colombia,fertility,2.93005
1995,Colombia,fertility,2.7
2000,Colombia,fertility,2.4705
2005,Colombia,fertility,2.2205
1955,Costa Rica,fertility,7.1135
1960,Costa Rica,fertility,7.2245
1965,Costa Rica,fertility,5.801
1970,Costa Rica,fertility,4.346
1975,Costa Rica,fertility,3.7755
1980,Costa Rica,fertility,3.527
1985,Costa Rica,fertility,3.374
1990,Costa Rica,fertility,2.9450000000000003
1995,Costa Rica,fertility,2.5835
2000,Costa Rica,fertility,2.2815
2005,Costa Rica,fertility,2.0985
1955,Croatia,fertility,2.42
1960,Croatia,fertility,2.27
1965,Croatia,fertility,2.09
1970,Croatia,fertility,1.96
1975,Croatia,fertility,2.02
1980,Croatia,fertility,1.96
1985,Croatia,fertility,1.8399999999999999
1990,Croatia,fertility,1.52
1995,Croatia,fertility,1.537
2000,Croatia,fertility,1.348
2005,Croatia,fertility,1.346
1955,Cuba,fertility,3.6995
1960,Cuba,fertility,4.6805
1965,Cuba,fertility,4.3
1970,Cuba,fertility,3.6
1975,Cuba,fertility,2.15
1980,Cuba,fertility,1.8495
1985,Cuba,fertility,1.8495
1990,Cuba,fertility,1.6505
1995,Cuba,fertility,1.6095000000000002
2000,Cuba,fertility,1.63
2005,Cuba,fertility,1.49
1955,Dominican Republic,fertility,7.6405
1960,Dominican Republic,fertility,7.3505
1965,Dominican Republic,fertility,6.6495
1970,Dominican Republic,fertility,5.71
1975,Dominican Republic,fertility,4.76
1980,Dominican Republic,fertility,4.0
1985,Dominican Republic,fertility,3.47
1990,Dominican Republic,fertility,3.1995
1995,Dominican Republic,fertility,3.05
2000,Dominican Republic,fertility,2.95
2005,Dominican Republic,fertility,2.81
1955,Ecuador,fertility,6.7
1960,Ecuador,fertility,6.7
1965,Ecuador,fertility,6.5
1970,Ecuador,fertility,6.0005
1975,Ecuador,fertility,5.4005
1980,Ecuador,fertility,4.7005
1985,Ecuador,fertility,4.0
1990,Ecuador,fertility,3.4005
1995,Ecuador,fertility,3.1
2000,Ecuador,fertility,2.8175
2005,Ecuador,fertility,2.578
1955,Egypt,fertility,6.97
1960,Egypt,fertility,7.073
1965,Egypt,fertility,6.5600000000000005
1970,Egypt,fertility,5.855
1975,Egypt,fertility,5.609
1980,Egypt,fertility,5.332
1985,Egypt,fertility,4.833
1990,Egypt,fertility,3.908
1995,Egypt,fertility,3.5
2000,Egypt,fertility,3.174
2005,Egypt,fertility,2.891
1955,El Salvador,fertility,6.8065
1960,El Salvador,fertility,6.8469999999999995
1965,El Salvador,fertility,6.621
1970,El Salvador,fertility,6.0995
1975,El Salvador,fertility,5.5996
1980,El Salvador,fertility,4.5
1985,El Salvador,fertility,3.901
1990,El Salvador,fertility,3.52
1995,El Salvador,fertility,3.17
2000,El Salvador,fertility,2.883
2005,El Salvador,fertility,2.6825
1955,Finland,fertility,2.769
1960,Finland,fertility,2.66
1965,Finland,fertility,2.191
1970,Finland,fertility,1.623
1975,Finland,fertility,1.663
1980,Finland,fertility,1.685
1985,Finland,fertility,1.6600000000000001
1990,Finland,fertility,1.819
1995,Finland,fertility,1.7429999999999999
2000,Finland,fertility,1.754
2005,Finland,fertility,1.8250000000000002
1955,France,fertility,2.7119999999999997
1960,France,fertility,2.85
1965,France,fertility,2.607
1970,France,fertility,2.31
1975,France,fertility,1.862
